ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
14_300_3013_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3013_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00001
14_300_3014_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,km,kg CO2e,0.00365
14_300_3014_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.0036
14_300_3014_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3014_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00003
14_300_3013_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00152
14_300_3013_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00149
14_300_3013_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3013_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00002
14_300_3014_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,miles,kg CO2e,0.00587
14_300_3014_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0058
14_300_3014_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00003
14_300_3014_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Lower medium,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00004
14_300_3018_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00101
14_300_3018_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00099
14_300_3018_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3018_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00001
14_300_3019_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,km,kg CO2e,0.00396
14_300_3019_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00393
14_300_3019_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3019_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
14_300_3018_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00163
14_300_3018_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0016
14_300_3018_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3018_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00002
14_300_3019_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,miles,kg CO2e,0.00637
14_300_3019_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00632
14_300_3019_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00002
14_300_3019_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Upper medium,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00003
14_300_3023_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00083
14_300_3023_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00081
14_300_3023_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3023_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00001
14_300_3024_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,km,kg CO2e,0.00352
14_300_3024_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00347
14_300_3024_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3024_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00003
14_300_3023_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00133
14_300_3023_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0013
14_300_3023_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3023_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00002
14_300_3024_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,miles,kg CO2e,0.00565
14_300_3024_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00558
14_300_3024_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00003
14_300_3024_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Executive,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00004
14_300_3028_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00097
14_300_3028_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00095
14_300_3028_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3028_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00001
14_300_3029_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,km,kg CO2e,0.00465
14_300_3029_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.0046
14_300_3029_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3029_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00003
14_300_3028_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00155
14_300_3028_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00152
14_300_3028_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3028_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00002
14_300_3029_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,miles,kg CO2e,0.00748
14_300_3029_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.0074
14_300_3029_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00003
14_300_3029_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Luxury,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00004
14_300_3033_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00071
14_300_3033_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00069
14_300_3033_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3033_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00001
14_300_3034_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,km,kg CO2e,0.00593
14_300_3034_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00587
14_300_3034_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3034_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00004
14_300_3033_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00114
14_300_3033_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00111
14_300_3033_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3033_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00002
14_300_3034_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e,0.00955
14_300_3034_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00945
14_300_3034_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00004
14_300_3034_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Sports,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00005
14_300_3038_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00138
14_300_3038_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00135
14_300_3038_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3038_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
