ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
11_101_1011_15_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),,,tonnes,kg CO2e,733.64436
11_101_1011_8_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),,,litres,kg CO2e,0.61101
11_101_1011_7_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e,0.06181
11_101_1011_6_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e,0.05816
11_101_1012_15_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e,752.0276
11_101_1012_8_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e,0.62409
11_101_1012_7_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e,0.06291
11_101_1012_6_1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e,0.05913
11_101_1013_15_1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e,714.86545
11_101_1013_8_1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e,0.69539
11_101_1013_7_1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e,0.06291
11_101_1013_6_1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e,0.05913
11_101_1014_15_1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e,743.83524
11_101_1014_8_1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,,,litres,kg CO2e,0.62665
11_101_1014_7_1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,,,kWh (Net CV),kg CO2e,0.06291
11_101_1014_6_1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,,,kWh (Gross CV),kg CO2e,0.05913
11_101_1015_15_1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,,,tonnes,kg CO2e,1116.83712
11_101_1015_8_1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,,,litres,kg CO2e,
11_101_1015_7_1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,,,kWh (Net CV),kg CO2e,0.09828
11_101_1015_6_1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,,,kWh (Gross CV),kg CO2e,0.09238
11_101_1016_15_1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,,,tonnes,kg CO2e,640.41464
11_101_1016_8_1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,,,litres,kg CO2e,
11_101_1016_7_1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,,,kWh (Net CV),kg CO2e,0.05076
11_101_1016_6_1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,,,kWh (Gross CV),kg CO2e,0.04822
11_101_1017_15_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),,,tonnes,kg CO2e,777.33392
11_101_1017_8_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),,,litres,kg CO2e,0.58094
11_101_1017_7_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Net CV),kg CO2e,0.0648
11_101_1017_6_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),,,kWh (Gross CV),kg CO2e,0.0614
11_101_1018_15_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),,,tonnes,kg CO2e,815.93523
11_101_1018_8_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),,,litres,kg CO2e,0.60664
11_101_1018_7_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Net CV),kg CO2e,0.06582
