ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
19_501_5052_15_1,Scope 3,Material use,Other,Books,,Primary material production,tonnes,kg CO2e,
19_501_5053_15_1,Scope 3,Material use,Other,Books,,Re-used,tonnes,kg CO2e,
19_501_5054_15_1,Scope 3,Material use,Other,Books,,Open-loop source,tonnes,kg CO2e,
19_501_5055_15_1,Scope 3,Material use,Other,Books,,Closed-loop source,tonnes,kg CO2e,
19_501_5056_15_1,Scope 3,Material use,Other,Glass,,Primary material production,tonnes,kg CO2e,1402.76667
19_501_5057_15_1,Scope 3,Material use,Other,Glass,,Re-used,tonnes,kg CO2e,
19_501_5058_15_1,Scope 3,Material use,Other,Glass,,Open-loop source,tonnes,kg CO2e,
19_501_5059_15_1,Scope 3,Material use,Other,Glass,,Closed-loop source,tonnes,kg CO2e,823.18954
19_501_5060_15_1,Scope 3,Material use,Other,Clothing,,Primary material production,tonnes,kg CO2e,22310
19_501_5061_15_1,Scope 3,Material use,Other,Clothing,,Re-used,tonnes,kg CO2e,152.25
19_501_5062_15_1,Scope 3,Material use,Other,Clothing,,Open-loop source,tonnes,kg CO2e,
19_501_5063_15_1,Scope 3,Material use,Other,Clothing,,Closed-loop source,tonnes,kg CO2e,
19_501_5064_15_1,Scope 3,Material use,Other,Food and drink,,Primary material production,tonnes,kg CO2e,3701.40359
19_501_5065_15_1,Scope 3,Material use,Other,Food and drink,,Re-used,tonnes,kg CO2e,
19_501_5066_15_1,Scope 3,Material use,Other,Food and drink,,Open-loop source,tonnes,kg CO2e,
19_501_5067_15_1,Scope 3,Material use,Other,Food and drink,,Closed-loop source,tonnes,kg CO2e,
19_502_5068_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Primary material production,tonnes,kg CO2e,112.08811
19_502_5069_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Re-used,tonnes,kg CO2e,
19_502_5070_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Open-loop source,tonnes,kg CO2e,
19_502_5071_15_1,Scope 3,Material use,Organic,Compost derived from garden waste,,Closed-loop source,tonnes,kg CO2e,
19_502_5072_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Primary material production,tonnes,kg CO2e,114.90473
19_502_5073_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Re-used,tonnes,kg CO2e,
19_502_5074_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Open-loop source,tonnes,kg CO2e,
19_502_5075_15_1,Scope 3,Material use,Organic,Compost derived from food and garden waste,,Closed-loop source,tonnes,kg CO2e,
19_503_5076_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Primary material production,tonnes,kg CO2e,4363.33333
19_503_5077_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Re-used,tonnes,kg CO2e,
19_503_5078_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Open-loop source,tonnes,kg CO2e,
19_503_5079_15_1,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,,Closed-loop source,tonnes,kg CO2e,
19_503_5080_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Primary material production,tonnes,kg CO2e,3267
19_503_5081_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Re-used,tonnes,kg CO2e,
19_503_5082_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Open-loop source,tonnes,kg CO2e,
19_503_5083_15_1,Scope 3,Material use,Electrical items,Electrical items - large,,Closed-loop source,tonnes,kg CO2e,
19_503_5084_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Primary material production,tonnes,kg CO2e,24865.47556
19_503_5085_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Re-used,tonnes,kg CO2e,
19_503_5086_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Open-loop source,tonnes,kg CO2e,
19_503_5087_15_1,Scope 3,Material use,Electrical items,Electrical items - IT,,Closed-loop source,tonnes,kg CO2e,
19_503_5088_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Primary material production,tonnes,kg CO2e,5647.94563
19_503_5089_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Re-used,tonnes,kg CO2e,
19_503_5090_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Open-loop source,tonnes,kg CO2e,
19_503_5091_15_1,Scope 3,Material use,Electrical items,Electrical items - small,,Closed-loop source,tonnes,kg CO2e,
19_503_5092_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Primary material production,tonnes,kg CO2e,4633.47826
19_503_5093_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Re-used,tonnes,kg CO2e,
19_503_5094_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Open-loop source,tonnes,kg CO2e,
19_503_5095_15_1,Scope 3,Material use,Electrical items,Batteries - Alkaline,,Closed-loop source,tonnes,kg CO2e,
19_503_5096_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Primary material production,tonnes,kg CO2e,6308
19_503_5097_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Re-used,tonnes,kg CO2e,
